FIPStxt,PCTPOVALL_2015
0,14.7
1000,18.5
1001,12.7
1003,12.9
1005,32
1007,22.2
1009,14.7
1011,39.6
1013,25.8
1015,20
1017,22.4
1019,19.4
1021,20.2
1023,24.4
1025,22.2
1027,18.4
1029,18.9
1031,16.2
1033,18.1
1035,28.3
1037,20.3
1039,22.3
1041,19.9
1043,19.4
1045,18.5
1047,34.6
1049,20.6
1051,14
1053,24.4
1055,19
1057,20.4
1059,21.1
1061,22.4
1063,37.7
1065,28.5
1067,17
1069,18.3
1071,18.4
1073,18
1075,24.7
1077,17.3
1079,18.7
1081,21
1083,14.3
1085,35.2
1087,32.2
1089,13.3
1091,23.3
1093,19.8
1095,20.1
1097,18.4
1099,28.6
1101,22.8
1103,16.4
1105,40
1107,24.3
1109,25.9
1111,18.7
1113,23
1115,12.4
1117,8.5
1119,33.2
1121,22.4
1123,21.7
1125,20
1127,20.6
1129,22.4
1131,33.2
1133,18.9
2000,10.4
2013,17.4
2016,8.5
2020,8.7
2050,24.2
2060,9
2068,6.6
2070,20
2090,8.1
2100,10.9
2105,16.2
2110,8
2122,11.4
2130,10.3
2150,7.5
2158,31.8
2164,19.3
2170,9.8
2180,21.4
2185,12.6
2188,26.3
2195,7.9
2198,15.6
2220,9.2
2230,3.7
2240,13.5
2261,9.5
2275,12
2282,15.4
2290,23.4
4000,17.4
4001,38
4003,16.9
4005,19.5
4007,21.3
4009,22.9
4011,10.1
4012,22.2
4013,16.3
4015,17.4
4017,28.1
4019,18.7
4021,15.8
4023,24.4
4025,15.1
4027,21.1
5000,18.7
5001,20.7
5003,19.6
5005,16.4
5007,10.8
5009,16.5
5011,28
5013,16.7
5015,16.6
5017,31.4
5019,22.5
5021,20.8
5023,15.6
5025,18.1
5027,23.8
5029,17.8
5031,17.3
5033,14.4
5035,25.9
5037,21.5
5039,21.3
5041,30.9
5043,21.2
5045,14.8
5047,18.2
5049,19.4
5051,19.3
5053,13.2
5055,17.1
5057,24.1
5059,20.8
5061,18.7
5063,18
5065,19.8
5067,27.5
5069,26.5
5071,21.8
5073,22.7
5075,23.7
5077,35.9
5079,25.1
5081,19.9
5083,20.5
5085,11.9
5087,18.8
5089,18.8
5091,22.3
5093,26.3
5095,30.9
5097,21.8
5099,24
5101,24.2
5103,22.8
5105,16.8
5107,37.3
5109,18.5
5111,23.9
5113,24.4
5115,20.8
5117,19.6
5119,19.4
5121,17.6
5123,30.7
5125,10.7
5127,20.8
5129,22.2
5131,22.1
5133,20.8
5135,24.6
5137,21.5
5139,19.7
5141,19
5143,16.9
5145,19.7
5147,25.8
5149,17.8
6000,15.4
6001,11.5
6003,19
6005,13.1
6007,21.4
6009,13
6011,13.2
6013,10.2
6015,23.3
6017,9.1
6019,25.2
6021,18.5
6023,20.9
6025,24.3
6027,12.4
6029,21.9
6031,22.4
6033,20.5
6035,17.1
6037,16.7
6039,22.6
6041,7.5
6043,15.2
6045,20.3
6047,25.9
6049,20.3
6051,11.2
6053,15.3
6055,10.1
6057,12.4
6059,12.7
6061,8.6
6063,13.8
6065,16.2
6067,16.9
6069,9.3
6071,18.9
6073,13.9
6075,12.4
6077,17.5
6079,14.4
6081,8.4
6083,15.6
6085,8.3
6087,15.4
6089,19
6091,13.8
6093,22.6
6095,12
6097,11
6099,19.5
6101,17.5
6103,22.5
6105,19.7
6107,27.2
6109,14.5
6111,9.9
6113,17.5
6115,21.6
8000,11.5
8001,12.8
8003,24
8005,9.2
8007,13.1
8009,20.8
8011,36.7
8013,12.3
8014,4.9
8015,11.7
8017,11.7
8019,9.6
8021,20.2
8023,28.2
8025,44.3
8027,15.1
8029,15.8
8031,15.7
8033,14.9
8035,3.4
8037,7.6
8039,5.9
8041,11
8043,17.2
8045,10.3
8047,8
8049,8.3
8051,12.5
8053,10.9
8055,23.2
8057,13.9
8059,7.9
8061,13.9
8063,12.2
8065,15.7
8067,9.4
8069,12.2
8071,19.3
8073,19.4
8075,15.5
8077,14.1
8079,9.4
8081,11.7
8083,19.3
8085,17.7
8087,12.1
8089,20.6
8091,9.4
8093,9.2
8095,11.1
8097,7
8099,19.6
8101,19.8
8103,9.7
8105,17.2
8107,8.9
8109,29.6
8111,15.6
8113,11
8115,13.6
8117,8.7
8119,8.8
8121,11.4
8123,11.3
8125,14.1
9000,10.6
9001,9
9003,11.1
9005,7.4
9007,6.7
9009,13.6
9011,11.1
9013,7.1
9015,10.9
10000,12.6
10001,14.2
10003,12.1
10005,12.3
11000,17.7
11001,17.7
12000,15.8
12001,21.1
12003,16.8
12005,16.5
12007,21.3
12009,13.4
12011,14
12013,22.2
12015,12.4
12017,17.5
12019,11.6
12021,13.6
12023,19.7
12027,30.5
12029,29.3
12031,16
12033,15.4
12035,11.7
12037,23.7
12039,24.5
12041,19.2
12043,22.1
12045,21.9
12047,31.8
12049,25.9
12051,25.8
12053,14.3
12055,22.9
12057,15.8
12059,25.9
12061,13
12063,22.5
12065,19.4
12067,23.8
12069,12.8
12071,15.9
12073,21.8
12075,22.1
12077,22.6
12079,27
12081,14.8
12083,18.7
12085,11.2
12086,20
12087,11.3
12089,10.8
12091,11.3
12093,23.2
12095,15.6
12097,18.5
12099,13.5
12101,14.6
12103,13.6
12105,17.3
12107,27.3
12109,9.8
12111,16.4
12113,12.3
12115,9.7
12117,11.5
12119,10.1
12121,23.6
12123,21.2
12125,26.2
12127,16.3
12129,16.5
12131,14.8
12133,24.8
13000,17.2
13001,22.5
13003,26.9
13005,23.9
13007,28.7
13009,26
13011,15.8
13013,15.6
13015,13.6
13017,32.5
13019,25.5
13021,26.7
13023,19.3
13025,21.6
13027,25.4
13029,13.1
13031,29.9
13033,25.1
13035,19
13037,37.5
13039,13.6
13043,28.1
13045,20.4
13047,13.1
13049,32.5
13051,17.8
13053,21
13055,20.4
13057,9.4
13059,38.1
13061,34.3
13063,23.3
13065,28.2
13067,11.4
13069,22.6
13071,24.1
13073,9.3
13075,24.1
13077,10.9
13079,20.6
13081,32.3
13083,16.2
13085,12.1
13087,27.3
13089,17.8
13091,24.8
13093,33.8
13095,29.4
13097,14.1
13099,26.5
13101,25.9
13103,11.4
13105,23.7
13107,27
13109,27.4
13111,17.4
13113,7
13115,19.6
13117,6.3
13119,21.9
13121,16
13123,16.9
13125,17.8
13127,18.2
13129,18.1
13131,29.3
13133,21.2
13135,12.6
13137,16.6
13139,16.9
13141,34.7
13143,19.2
13145,9.9
13147,18.6
13149,19.1
13151,9.9
13153,15.2
13155,24.7
13157,13
13159,17.4
13161,21.7
13163,27.7
13165,35.9
13167,30.2
13169,14.2
13171,21
13173,21.8
13175,25.5
13177,10.7
13179,20.3
13181,21.4
13183,19.1
13185,26.5
13187,16.5
13189,27.4
13191,24
13193,33.5
13195,15.1
13197,25.5
13199,22.1
13201,25.1
13205,28
13207,14.2
13209,24.3
13211,14.3
13213,17.8
13215,22.2
13217,14.9
13219,6.8
13221,16.9
13223,8.8
13225,22
13227,12.6
13229,22.1
13231,11.7
13233,20.8
13235,24.4
13237,18.1
13239,28.9
13241,16.1
13243,26.9
13245,24.3
13247,15.9
13249,19.5
13251,27
13253,25.8
13255,22.2
13257,21.2
13259,42
13261,30.8
13263,25.6
13265,33.5
13267,27.5
13269,27.3
13271,34.7
13273,36.5
13275,21.7
13277,27.1
13279,25.1
13281,16.7
13283,28.7
13285,19.3
13287,28.4
13289,26.3
13291,14.3
13293,22.7
13295,18.8
13297,12.7
13299,28.4
13301,27.7
13303,26.3
13305,20.8
13307,23.6
13309,39.3
13311,15.2
13313,15.3
13315,30.4
13317,22.9
13319,20.9
13321,21.7
15000,10.7
15001,18.3
15003,9.2
15005,14.7
15007,11.2
15009,10.7
16000,14.7
16001,11.7
16003,15.8
16005,22.3
16007,13.7
16009,18
16011,14
16013,8.9
16015,14.4
16017,15.8
16019,13.2
16021,15.8
16023,15.9
16025,10.7
16027,15.9
16029,10.8
16031,16.7
16033,15.3
16035,15.3
16037,14
16039,15
16041,9.7
16043,15
16045,15.8
16047,13.9
