room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
6499,14455,Entire home/apt,Belém,8,5.0,2,1.0,57.0
17031,66015,Entire home/apt,Alvalade,0,0.0,2,1.0,46.0
25659,107347,Entire home/apt,Santa Maria Maior,63,5.0,3,1.0,69.0
29248,125768,Entire home/apt,Santa Maria Maior,225,4.5,4,1.0,58.0
29396,126415,Entire home/apt,Santa Maria Maior,132,5.0,4,1.0,67.0
29720,128075,Entire home/apt,Estrela,14,5.0,16,9.0,1154.0
29872,128698,Entire home/apt,Alcântara,25,5.0,2,1.0,75.0
29891,128792,Entire home/apt,Misericórdia,28,5.0,3,1.0,49.0
29915,128890,Entire home/apt,Avenidas Novas,28,4.5,3,1.0,58.0
33312,144398,Entire home/apt,Misericórdia,24,4.5,4,1.0,66.0
33348,144484,Private room,Lumiar,2,0.0,6,1.0,46.0
34783,149980,Private room,Estrela,0,0.0,1,1.0,54.0
34977,146695,Entire home/apt,Santa Maria Maior,54,4.5,6,2.0,60.0
40817,176410,Entire home/apt,Misericórdia,229,4.5,2,1.0,52.0
42172,184400,Entire home/apt,Santa Maria Maior,45,4.5,6,2.0,138.0
42519,136230,Entire home/apt,Misericórdia,79,4.5,3,1.0,87.0
44043,192830,Entire home/apt,Santa Maria Maior,316,5.0,7,3.0,80.0
46567,208343,Private room,Avenidas Novas,3,5.0,2,1.0,39.0
47717,217058,Entire home/apt,Santa Maria Maior,70,4.5,3,1.0,57.0
50108,229376,Entire home/apt,Estrela,33,4.5,4,1.0,69.0
55116,259744,Private room,Avenidas Novas,1,0.0,2,2.0,68.0
56906,270457,Entire home/apt,São Vicente,86,4.5,3,1.0,52.0
57850,276092,Entire home/apt,Estrela,52,4.5,3,2.0,70.0
59227,184400,Entire home/apt,Misericórdia,25,4.5,7,3.0,138.0
65553,320407,Entire home/apt,Campo de Ourique,102,4.5,2,1.0,58.0
65878,322145,Entire home/apt,Misericórdia,51,5.0,4,1.0,76.0
72807,378525,Private room,Alvalade,1,0.0,1,1.0,29.0
73764,154341,Entire home/apt,Santo António,18,4.5,2,1.0,64.0
75171,184400,Entire home/apt,Estrela,19,4.5,5,2.0,115.0
77130,412702,Entire home/apt,Misericórdia,74,4.5,3,0.0,52.0
77466,415066,Entire home/apt,Misericórdia,255,5.0,5,2.0,80.0
