URL,nombre,n_apariciones,actual,genero,fecha_inicio,Notes
http://marvel.wikia.com/Henry_Pym_(Earth-616),"Henry Jonathan ""Hank"" Pym",1269,YES,MALE,1963,Merged with Ultron in Rage of Ultron Vol. 1. A funeral was held.
http://marvel.wikia.com/Janet_van_Dyne_(Earth-616),Janet van Dyne,1165,YES,FEMALE,1963,Dies in Secret Invasion V1:I8. Actually was sent tto Microverse later recovered
http://marvel.wikia.com/Anthony_Stark_(Earth-616),"Anthony Edward ""Tony"" Stark",3068,YES,MALE,1963,"Death: ""Later while under the influence of Immortus Stark committed a number of horrible acts and was killed.'  This set up young Tony. Franklin Richards later brought him back"
http://marvel.wikia.com/Robert_Bruce_Banner_(Earth-616),Robert Bruce Banner,2089,YES,MALE,1963,"Dies in Ghosts of the Future arc. However ""he had actually used a hidden Pantheon base to survive"""
http://marvel.wikia.com/Thor_Odinson_(Earth-616),Thor Odinson,2402,YES,MALE,1963,Dies in Fear Itself brought back because that's kind of the whole point. Second death in Time Runs Out has not yet returned
http://marvel.wikia.com/Richard_Jones_(Earth-616),Richard Milhouse Jones,612,YES,MALE,1963,
http://marvel.wikia.com/Steven_Rogers_(Earth-616),Steven Rogers,3458,YES,MALE,1964,Dies at the end of Civil War. Later comes back.
http://marvel.wikia.com/Clint_Barton_(Earth-616),Clinton Francis Barton,1456,YES,MALE,1965,Dies in exploding Kree ship in Averngers Vol. 1  Issue 502. Brought back by Scarlet Witch. Dies again in House of M Vol 1 Issue 7. Is later brought back.
http://marvel.wikia.com/Pietro_Maximoff_(Earth-616),Pietro Maximoff,769,YES,MALE,1965,Dies in House of M Vol 1 Issue 7. Later comes back
http://marvel.wikia.com/Wanda_Maximoff_(Earth-616),Wanda Maximoff,1214,YES,FEMALE,1965,Dies in Uncanny_Avengers_Vol_1_14. Later comes back
http://marvel.wikia.com/Jacques_Duquesne_(Earth-616),Jacques Duquesne,115,NO,MALE,1965,Dies in Avengers_Vol_1_130. Brought back by the Chaos King
http://marvel.wikia.com/Hercules_(Earth-616),Heracles,741,YES,MALE,1967,
http://marvel.wikia.com/T%27Challa_(Earth-616),T'Challa,780,NO,MALE,1968,
http://marvel.wikia.com/Vision_(Earth-616),Victor Shade (alias),1036,YES,MALE,1968,Dies in Avengers_Vol_1_500. Is eventually rebuilt.
http://marvel.wikia.com/Dane_Whitman,Dane Whitman,482,NO,MALE,1969,
http://marvel.wikia.com/Natalia_Romanova_(Earth-616)#,Natalia Alianovna Romanova,1112,YES,FEMALE,1973,Killed by The Hand. Later revived with The Stone of the Chaste.
http://marvel.wikia.com/Mantis_(Earth-616)#,Brandt,160,NO,FEMALE,1973,"Dies in Silver_Surfer_Vol_3_3. Actually ""fragments of her essence were spread out all across the universe"""
http://marvel.wikia.com/Henry_McCoy_(Earth-616)#,Henry P. McCoy,1886,NO,MALE,1976,
http://marvel.wikia.com/Heather_Douglas_(Earth-616)#,Heather Douglas,332,NO,FEMALE,1976,"Dies in Defenders_Vol_1_152. Later 'Obtained a new body.' Dies in Annihilation:_Conquest_Vol_1_3. Comes back as ""As before"" also was once named Madame MacEvil because LOL. "
http://marvel.wikia.com/Patricia_Walker_(Earth-616)#,Patsy Walker,557,NO,FEMALE,1976,Died during time on Defenders. Eventually ressurected by villian Grim Reaper along with Mockingbird to fight the Avengers.
http://marvel.wikia.com/Matthew_Hawk_(Earth-616)#,Matthew Liebowitz (birth name),197,NO,MALE,1975,Died during Return_to_the_Old_West. Resurrected by She Hulk in negotiation with Time Variance Authority. As a time traveller he died in 1938. Did not return
http://marvel.wikia.com/Robert_Frank_(Earth-616)#,Robert L. Frank Sr.,106,NO,MALE,1978,Died in Vision_and_the_Scarlet_Witch_Vol_1_2. Did not return however he was eventually cloned but the clone was killed immediately.
http://marvel.wikia.com/Simon_Williams_(Earth-616)#,Simon Williams,692,YES,MALE,1979,Died in Avengers_Vol_1_9. Actually just in a death-like coma.
http://marvel.wikia.com/Yondu_Udonta_(Earth-691)#,Yondu Udonta,109,NO,MALE,1978,
http://marvel.wikia.com/Martinex_T%27Naga_(Earth-691)#,Martinex T'Naga,100,NO,MALE,1978,
http://marvel.wikia.com/Charlie-27_(Earth-691)#,Charlie-27,132,NO,MALE,1978,
http://marvel.wikia.com/Nicholette_Gold_(Earth-691)#,Nicholette Gold,108,NO,FEMALE,1978,
http://marvel.wikia.com/Stakar_Ogord_(Earth-691)#,Stakar,100,NO,MALE,1978,
http://marvel.wikia.com/Vance_Astro_(Earth-691)#,Vance Astrovik,156,NO,MALE,1978,
http://marvel.wikia.com/Mar-Vell_(Earth-616)#,Mar-Vell,254,NO,MALE,1978,The bad penny of the Marvel universe. First killed in Secret invasion. Revived during the Chaos war. Died again during aformentioned chaos war. Resurrected by the Kree Empire using theæM'Kraan Crystal. Third death during Avengers vs. X-Men. Has not return
http://marvel.wikia.com/Carol_Danvers_(Earth-616)#,Carol Susan Jane Danvers,935,YES,FEMALE,1979,
http://marvel.wikia.com/Samuel_Wilson_(Earth-616)#,Samuel Thomas Wilson,576,YES,MALE,1979,
http://marvel.wikia.com/Jocasta_(Earth-616)#,Jocasta,141,YES,FEMALE,1988,"From her article: Death1: ""Defeated Ultron and reversed the process leaving Jocasta a mindless husk."" Return 1: ""Ultron later revived Jocasta with a remote link activating the mental residue the Wasp left behind"" Death 2: ""Sacrificing herself to try to ki"
http://marvel.wikia.com/Greer_Nelson_(Earth-616)#,Greer Grant Nelson,355,YES,FEMALE,1981,
http://marvel.wikia.com/Jennifer_Walters_(Earth-616)#,Jennifer Walters,933,YES,FEMALE,1982,Dies during Red Hulk Saga. Returns when Lyra infiltrates Intelligenica and finds her in statis
http://marvel.wikia.com/Monica_Rambeau_(Earth-616)#,Monica Rambeau,348,YES,FEMALE,1983,
http://marvel.wikia.com/Eros_(Earth-616)#,Eros,206,NO,MALE,1984,
http://marvel.wikia.com/James_Rhodes_(Earth-616)#,James R. Rhodes,533,NO,MALE,1984,
http://marvel.wikia.com/Barbara_Morse_(Earth-616)#,Barbara Barton (nee Morse),374,NO,FEMALE,1984,Killed by Mephisto. After Secret Invasion it turns out she was actually being impersonated by a Skrull the whole time and was alive and well.
http://marvel.wikia.com/Moira_Brandon_(Earth-616)#,Moira Brandon,2,NO,FEMALE,1993,Died in her second appearance earns honorary Avengers status doing so. Stays dead.
http://marvel.wikia.com/Benjamin_Grimm_(Earth-616)#,Benjamin Jacob Grimm,2305,NO,MALE,1986,Once killed during a battle with Doctor Doom.' Brought back by the FF when they literally went to Heaven to get him.
http://marvel.wikia.com/Bonita_Juarez_(Earth-616)#,Bonita Juarez,83,NO,FEMALE,1987,
http://marvel.wikia.com/Marc_Spector_(Earth-616)#,Marc Spector,402,NO,MALE,1988,NA but he he did die and return to get his powers prior to joining the Avengers.
http://marvel.wikia.com/John_Walker_(Earth-616)#,John F. Walker,352,NO,MALE,1989,
http://marvel.wikia.com/Human_Torch_(Android)_(Earth-616)#,Jim Hammond (alias),565,NO,MALE,1989,"Dies during New Invaders. Was ""was revived as a living weapon the Thinker intended to sell."" Prior to joining the avengers he had died like 2 times in the 40s. "
http://marvel.wikia.com/Miguel_Santos_(Earth-616)#,Miguel Santos,112,NO,MALE,1991,NA: Has not died since joing the Avengers but prior to joining he fought the West Coast avengers and seemingly died. Later turned up under control of a villain
http://marvel.wikia.com/Julia_Carpenter_(Earth-616)#,Julia Carpenter,218,NO,FEMALE,1992,
http://marvel.wikia.com/2ZP45-9-X-51_(Earth-616)#,X-51,149,NO,MALE,1992,Died in Deathlok Vol 2 #5. JK that was actually just a Life Model Decoy
http://marvel.wikia.com/Chris_Powell_(Earth-616)#,Christopher Powell,168,NO,MALE,1993,
http://marvel.wikia.com/Namor_McKenzie_(Earth-616)#,Namor McKenzie,1561,NO,MALE,1985,Namor was presumed killed in the battle with Atlantean Barbarians. Had actually survived and turned up in the South Pacific
http://marvel.wikia.com/Scott_Lang_(Earth-616)#,Scott Edward Harris Lang,217,NO,MALE,2003,Died in Avengers:_Disassembled. Was brought back in the Young Avengers: Children's Crusade arc because time travel but take my word for it it was actually kind of well done.
http://marvel.wikia.com/Anthony_Druid_(Earth-616)#,Anthony Ludgate Druid,158,NO,MALE,1987,Shot with a Breathing gun and corpse dumped in trash. Revived by the Grim Reaper. Helped Avengers defeat the Reaper so his spirit could remain at peace. Later completely revived by the Chaos King.
http://marvel.wikia.com/Marrina_Smallwood_(Earth-616)#,Marrina Smallwood,86,NO,FEMALE,1987,Killed by Namor with the Ebony Blade. Returned when The Master put her in a statis tube. Death 2 was when Namor mercy killed her. Returned to life a second time by the Chaos King.
http://marvel.wikia.com/Ravonna_Renslayer_(Earth-6311)#,Ravonna Lexus Renslayer,41,NO,FEMALE,1988,Killed in Avengers_Vol_1_24. Revived by the Grandmaster. Died in Avengers:_Forever_Vol_1_3.
http://marvel.wikia.com/Rita_DeMara_(Earth-616)#,Rita DeMara,68,NO,FEMALE,1988,Killed by Iron Man when he was controlled by Immortus. Revived during Chaos war.
http://marvel.wikia.com/Dennis_Dunphy_(Earth-616)#,Dennis Dunphy,70,NO,MALE,1988,"Died in Captain_America_348. Actually ""Dunphy miraculously survived the crash and lived with an Inuit tribe."" Second death when killed by Sharon Carter.  "
http://marvel.wikia.com/Gilgamesh_(Earth-616)#,,61,NO,MALE,1989,Killed by Neut who was working for Immortus. Reborn into a new body.
http://marvel.wikia.com/Reed_Richards_(Earth-616)#,Reed Richards,2125,YES,MALE,1989,
http://marvel.wikia.com/Susan_Storm_(Earth-616)#,Susan Richards (nee Storm),1761,NO,MALE,1989,
http://marvel.wikia.com/Wendell_Vaughn_(Earth-616)#,Wendell Elvis Vaughn,293,NO,MALE,1989,Killed by the Cosmic Assassin. Actually turned into a being composed of pure energy.
http://marvel.wikia.com/Ashley_Crawford_(Earth-616)#,Ashley Crawford,36,YES,FEMALE,1989,
http://marvel.wikia.com/Dinah_Soar_(Earth-616)#,,22,NO,FEMALE,1989,Died in Great_Lakes_Avengers_Vol_1_1. Has not returned
http://marvel.wikia.com/DeMarr_Davis_(Earth-616)#,DeMarr Davis,31,YES,MALE,1989,Sacrificed self so that Mr. Immortal could stop the villain Maelstrom. Returned as the Angel of Death.
http://marvel.wikia.com/Val_Ventura_(Earth-616)#,Val Ventura,34,YES,MALE,1989,
http://marvel.wikia.com/Craig_Hollis_(Earth-616)#,Craig Hollis,33,YES,MALE,1989,Christ
http://marvel.wikia.com/Gene_Lorrene_(Earth-616)#,Gene Lorrene,4,NO,MALE,2005,
http://marvel.wikia.com/Doreen_Green_(Earth-616)#,Dorreen Green,47,NO,FEMALE,2005,
http://marvel.wikia.com/Monkey_Joe_(Earth-616)#,,7,NO,MALE,2005,Killed by Leather Boy
http://marvel.wikia.com/Doug_Taggert_(Earth-616)#,Doug Taggert,3,NO,MALE,2005,Accidently killed by Zaran
http://marvel.wikia.com/Tippy-Toe_(Earth-616)#,,16,NO,FEMALE,2005,
http://marvel.wikia.com/Wade_Wilson_(Earth-616)#,Wade Wilson,575,NO,MALE,2007,Died during incursion. It's not ever particulalry clear if he ever joined an Avengers team besides one issue so his inclusion here is specious at best.
http://marvel.wikia.com/Greg_Willis_(Earth-616)#,Greg Willis,58,NO,MALE,2009,Died on Battleworld and came back prior to joining avengers
http://marvel.wikia.com/Sersi_(Earth-616)#,Circe,237,NO,FEMALE,1990,
http://marvel.wikia.com/Peter_Parker_(Earth-616)#,Peter Benjamin Parker,4333,YES,MALE,1990,Since joining the New Avengers: First death Killed by Morlun. Ressurected in a brand new body. Died in Amazing Spider-Man #700. Eventually mainfested in his body that Octavious stole and then took over again.
http://marvel.wikia.com/Walter_Newell_(Earth-616)#,Walter Newell,126,NO,MALE,1990,
