TOWN,LON,LAT,MEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
Nahant,-70.955,42.255,24.0,0.00632,18.0,2.31,0,0.5379999999999999,6.575,65.2,4.09,1,296,15.3,396.9,4.98
Swampscott,-70.95,42.2875,21.6,0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14
Swampscott,-70.936,42.283,34.7,0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03
Marblehead,-70.928,42.293,33.4,0.03237,0.0,2.18,0,0.458,6.997999999999998,45.8,6.0622,3,222,18.7,394.63,2.94
Marblehead,-70.922,42.298,36.2,0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33
Marblehead,-70.9165,42.303999999999995,28.7,0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21
Salem,-70.936,42.297,22.9,0.08829,12.5,7.87,0,0.524,6.0120000000000005,66.6,5.5605,5,311,15.2,395.6,12.43
Salem,-70.9375,42.31,22.1,0.14455,12.5,7.87,0,0.524,6.1720000000000015,96.1,5.9505,5,311,15.2,396.9,19.15
Salem,-70.933,42.312,16.5,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311,15.2,386.63,29.93
Salem,-70.929,42.316,18.9,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1
Salem,-70.935,42.316,15.0,0.22489,12.5,7.87,0,0.524,6.377000000000002,94.3,6.3467,5,311,15.2,392.52,20.45
Salem,-70.944,42.317,18.9,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27
Salem,-70.95100000000001,42.306000000000004,21.7,0.09378,12.5,7.87,0,0.524,5.8889999999999985,39.0,5.4509,5,311,15.2,390.5,15.71
Lynn,-70.9645,42.292,20.4,0.62976,0.0,8.14,0,0.5379999999999999,5.949,61.8,4.7075,4,307,21.0,396.9,8.26
Lynn,-70.972,42.287,18.2,0.6379600000000001,0.0,8.14,0,0.5379999999999999,6.096,84.5,4.4619,4,307,21.0,380.02,10.26
Lynn,-70.9765,42.294,19.9,0.62739,0.0,8.14,0,0.5379999999999999,5.834,56.5,4.4986,4,307,21.0,395.62,8.47
Lynn,-70.987,42.2985,23.1,1.05393,0.0,8.14,0,0.5379999999999999,5.935,29.3,4.4986,4,307,21.0,386.85,6.58
Lynn,-70.97800000000001,42.285,17.5,0.7842,0.0,8.14,0,0.5379999999999999,5.99,81.7,4.2579,4,307,21.0,386.75,14.67
Lynn,-70.9925,42.2825,20.2,0.80271,0.0,8.14,0,0.5379999999999999,5.456,36.6,3.7965,4,307,21.0,288.99,11.69
Lynn,-70.988,42.2776,18.2,0.7258,0.0,8.14,0,0.5379999999999999,5.727,69.5,3.7965,4,307,21.0,390.95,11.28
Lynn,-70.9835,42.277,13.6,1.25179,0.0,8.14,0,0.5379999999999999,5.57,98.1,3.7979,4,307,21.0,376.57,21.02
Lynn,-70.982,42.281000000000006,19.6,0.8520399999999999,0.0,8.14,0,0.5379999999999999,5.965,89.2,4.0123,4,307,21.0,392.53,13.83
Lynn,-70.9775,42.278999999999996,15.2,1.2324700000000002,0.0,8.14,0,0.5379999999999999,6.142,91.7,3.9769,4,307,21.0,396.9,18.72
Lynn,-70.973,42.278999999999996,14.5,0.98843,0.0,8.14,0,0.5379999999999999,5.813,100.0,4.0952,4,307,21.0,394.54,19.88
Lynn,-70.9693,42.2816,15.6,0.75026,0.0,8.14,0,0.5379999999999999,5.924,94.1,4.3996,4,307,21.0,394.33,16.3
Lynn,-70.964,42.284,13.9,0.84054,0.0,8.14,0,0.5379999999999999,5.599,85.7,4.4546,4,307,21.0,303.42,16.51
Lynn,-70.9597,42.287,16.6,0.67191,0.0,8.14,0,0.5379999999999999,5.813,90.3,4.6819999999999995,4,307,21.0,376.88,14.81
