pct_alcohol,cloruros,acido_citrico,densidad,acidez_fija,dioxido_azufre_libre,PH,puntuacion,azucar_residual,sulfitos,dioxido_azufre_total,vino_blanco,vino_tinto,acidez_volatil
9.4,0.076,0.0,0.9978,7.4,11.0,3.51,5,1.9,0.56,34.0,0,1,0.7
9.8,0.098,0.0,0.9968,7.8,25.0,3.2,5,2.6,0.68,67.0,0,1,0.88
9.8,0.092,0.04,0.997,7.8,15.0,3.26,5,2.3,0.65,54.0,0,1,0.76
9.8,0.075,0.56,0.998,11.2,17.0,3.16,6,1.9,0.58,60.0,0,1,0.28
9.4,0.076,0.0,0.9978,7.4,11.0,3.51,5,1.9,0.56,34.0,0,1,0.7
9.4,0.075,0.0,0.9978,7.4,13.0,3.51,5,1.8,0.56,40.0,0,1,0.66
9.4,0.069,0.06,0.9964,7.9,15.0,3.3,5,1.6,0.46,59.0,0,1,0.6
10.0,0.065,0.0,0.9946,7.3,15.0,3.39,7,1.2,0.47,21.0,0,1,0.65
9.5,0.073,0.02,0.9968,7.8,9.0,3.36,7,2.0,0.57,18.0,0,1,0.58
10.5,0.071,0.36,0.9978,7.5,17.0,3.35,5,6.1,0.8,102.0,0,1,0.5
9.2,0.09699999999999999,0.08,0.9959,6.7,15.0,3.28,5,1.8,0.54,65.0,0,1,0.58
10.5,0.071,0.36,0.9978,7.5,17.0,3.35,5,6.1,0.8,102.0,0,1,0.5
9.9,0.08900000000000001,0.0,0.9943,5.6,16.0,3.58,5,1.6,0.52,59.0,0,1,0.615
9.1,0.114,0.29,0.9974,7.8,9.0,3.26,5,1.6,1.56,29.0,0,1,0.61
9.2,0.17600000000000002,0.18,0.9986,8.9,52.0,3.16,5,3.8,0.88,145.0,0,1,0.62
9.2,0.17,0.19,0.9986,8.9,51.0,3.17,5,3.9,0.93,148.0,0,1,0.62
10.5,0.092,0.56,0.9969,8.5,35.0,3.3,7,1.8,0.75,103.0,0,1,0.28
9.3,0.368,0.28,0.9968,8.1,16.0,3.11,5,1.7,1.28,56.0,0,1,0.56
9.0,0.086,0.08,0.9974,7.4,6.0,3.38,4,4.4,0.5,29.0,0,1,0.59
9.2,0.341,0.51,0.9969,7.9,17.0,3.04,6,1.8,1.08,56.0,0,1,0.32
9.4,0.077,0.48,0.9968,8.9,29.0,3.39,6,1.8,0.53,60.0,0,1,0.22
9.7,0.08199999999999999,0.31,0.9982,7.6,23.0,3.52,5,2.3,0.65,71.0,0,1,0.39
9.5,0.106,0.21,0.9966,7.9,10.0,3.17,5,1.6,0.91,37.0,0,1,0.43
9.4,0.084,0.11,0.9968,8.5,9.0,3.17,5,2.3,0.53,67.0,0,1,0.49
9.7,0.085,0.14,0.9968,6.9,21.0,3.43,6,2.4,0.63,40.0,0,1,0.4
9.3,0.08,0.16,0.9955,6.3,11.0,3.34,5,1.4,0.56,23.0,0,1,0.39
9.5,0.08,0.24,0.9962,7.6,4.0,3.28,5,1.8,0.59,11.0,0,1,0.41
9.5,0.106,0.21,0.9966,7.9,10.0,3.17,5,1.6,0.91,37.0,0,1,0.43
9.4,0.08,0.0,0.9972,7.1,14.0,3.47,5,1.9,0.55,35.0,0,1,0.71
9.8,0.08199999999999999,0.0,0.9964,7.8,8.0,3.38,6,2.0,0.59,16.0,0,1,0.645
10.1,0.08900000000000001,0.07,0.9958,6.7,17.0,3.35,5,2.4,0.54,82.0,0,1,0.675
10.6,0.105,0.0,0.9966,6.9,22.0,3.46,6,2.5,0.57,37.0,0,1,0.685
9.8,0.083,0.12,0.9966,8.3,15.0,3.17,5,2.3,0.66,113.0,0,1,0.655
9.4,0.073,0.12,0.9993,6.9,40.0,3.45,6,10.7,0.52,83.0,0,1,0.605
9.2,0.10300000000000001,0.25,0.9957,5.2,13.0,3.38,5,1.8,0.55,50.0,0,1,0.32
9.6,0.086,0.0,0.9986,7.8,5.0,3.4,6,5.5,0.55,18.0,0,1,0.645
10.8,0.086,0.14,0.9975,7.8,3.0,3.42,6,2.4,0.6,15.0,0,1,0.6
9.7,0.066,0.28,0.9968,8.1,13.0,3.23,7,2.1,0.73,30.0,0,1,0.38
9.8,0.172,0.09,0.9940000000000001,5.7,7.0,3.5,4,1.5,0.48,19.0,0,1,1.13
10.5,0.07400000000000001,0.36,0.9978,7.3,12.0,3.33,5,5.9,0.83,87.0,0,1,0.45
10.5,0.07400000000000001,0.36,0.9978,7.3,12.0,3.33,5,5.9,0.83,87.0,0,1,0.45
9.3,0.08800000000000001,0.3,0.9976,8.8,17.0,3.26,4,2.8,0.51,46.0,0,1,0.61
10.5,0.332,0.2,0.9968,7.5,8.0,3.21,6,2.6,0.9,14.0,0,1,0.49
10.3,0.069,0.22,0.9968,8.1,9.0,3.3,5,2.2,1.2,23.0,0,1,0.66
9.5,0.05,0.02,0.9962,6.8,5.0,3.48,5,1.8,0.52,11.0,0,1,0.67
13.1,0.054000000000000006,0.15,0.9934,4.6,8.0,3.9,4,2.1,0.56,65.0,0,1,0.52
9.2,0.114,0.43,0.997,7.7,22.0,3.25,5,2.2,0.73,114.0,0,1,0.935
9.5,0.113,0.52,0.9969,8.7,12.0,3.25,5,1.6,0.58,37.0,0,1,0.29
9.2,0.066,0.23,0.9958,6.4,5.0,3.34,5,1.6,0.56,12.0,0,1,0.4
9.2,0.07400000000000001,0.37,0.9954,5.6,12.0,3.32,5,1.4,0.58,96.0,0,1,0.31
9.2,0.07400000000000001,0.26,0.9971,8.8,4.0,3.15,5,1.7,0.74,23.0,0,1,0.66
9.4,0.069,0.04,0.9956,6.6,8.0,3.4,6,2.2,0.63,15.0,0,1,0.52
9.4,0.068,0.04,0.9955,6.6,6.0,3.39,6,2.1,0.64,14.0,0,1,0.5
9.4,0.081,0.36,0.997,8.6,30.0,3.2,5,3.0,0.56,119.0,0,1,0.38
10.2,0.11,0.15,0.9955,7.6,33.0,3.17,6,2.8,0.63,73.0,0,1,0.51
9.5,0.084,0.04,0.9978,7.7,25.0,3.34,5,3.8,0.53,45.0,0,1,0.62
9.6,0.07,0.57,0.9971,10.2,4.0,3.04,5,3.4,0.63,10.0,0,1,0.42
9.4,0.111,0.12,0.9983,7.5,50.0,3.26,5,5.1,0.77,110.0,0,1,0.63
10.0,0.076,0.18,0.9975,7.8,17.0,3.43,5,2.3,0.59,54.0,0,1,0.59
9.4,0.07400000000000001,0.31,0.9962,7.3,9.0,3.41,6,2.4,0.54,46.0,0,1,0.39
9.2,0.079,0.4,0.998,8.8,19.0,3.44,5,2.2,0.64,52.0,0,1,0.4
9.3,0.115,0.49,0.9968,7.7,20.0,3.21,5,1.8,0.71,112.0,0,1,0.69
9.5,0.085,0.16,0.9968,7.5,12.0,3.38,7,1.9,0.62,35.0,0,1,0.52
9.8,0.081,0.05,0.9966,7.0,13.0,3.39,5,2.0,0.57,54.0,0,1,0.735
10.9,0.086,0.05,0.9962,7.2,4.0,3.41,5,4.65,0.39,11.0,0,1,0.725
10.9,0.086,0.05,0.9962,7.2,4.0,3.41,5,4.65,0.39,11.0,0,1,0.725
9.6,0.079,0.11,0.9968,7.5,11.0,3.42,5,1.5,0.58,39.0,0,1,0.52
10.7,0.076,0.07,0.9962,6.6,6.0,3.44,5,1.6,0.58,15.0,0,1,0.705
10.7,0.07400000000000001,0.57,0.9969,9.3,27.0,3.28,5,2.0,0.79,65.0,0,1,0.32
10.5,0.07400000000000001,0.05,0.9962,8.0,8.0,3.34,6,1.9,0.95,19.0,0,1,0.705
9.5,0.076,0.08,0.9967,7.7,15.0,3.32,6,1.9,0.54,27.0,0,1,0.63
9.5,0.08800000000000001,0.23,0.9962,7.7,17.0,3.32,5,2.1,0.48,96.0,0,1,0.67
9.5,0.084,0.22,0.9961,7.7,18.0,3.31,5,1.9,0.48,94.0,0,1,0.69
9.2,0.084,0.26,0.9976,8.3,11.0,3.31,4,2.1,0.53,43.0,0,1,0.675
9.6,0.094,0.54,0.9984,9.7,28.0,3.28,5,2.5,0.82,83.0,0,1,0.32
10.5,0.09300000000000001,0.64,0.9986,8.8,9.0,3.54,5,2.2,0.66,42.0,0,1,0.41
10.5,0.09300000000000001,0.64,0.9986,8.8,9.0,3.54,5,2.2,0.66,42.0,0,1,0.41
10.7,0.10400000000000001,0.0,0.9966,6.8,14.0,3.52,6,2.4,0.55,30.0,0,1,0.785
10.1,0.086,0.12,0.9958,6.7,12.0,3.38,5,2.0,0.52,80.0,0,1,0.75
9.1,0.08,0.2,0.9972,8.3,27.0,3.16,4,1.5,1.12,119.0,0,1,0.625
9.2,0.069,0.2,0.9958,6.2,3.0,3.41,5,1.6,0.56,15.0,0,1,0.45
9.4,0.46399999999999997,0.7,0.9974,7.8,22.0,3.13,5,1.9,1.28,67.0,0,1,0.43
9.1,0.086,0.47,0.997,7.4,21.0,3.36,5,2.0,0.57,73.0,0,1,0.5
9.4,0.401,0.26,0.9969,7.3,16.0,3.16,5,1.8,1.14,51.0,0,1,0.67
10.3,0.069,0.48,0.9959,6.3,18.0,3.44,6,1.8,0.78,61.0,0,1,0.3
10.1,0.076,0.15,0.9961,6.9,19.0,3.41,5,2.2,0.59,40.0,0,1,0.55
9.9,0.11,0.28,0.9972,8.6,20.0,2.93,6,1.9,1.95,136.0,0,1,0.49
9.6,0.062,0.26,0.9966,7.7,9.0,3.39,5,1.9,0.64,31.0,0,1,0.49
9.5,0.107,0.44,0.9978,9.3,34.0,3.14,5,2.1,1.22,125.0,0,1,0.39
9.0,0.076,0.08,0.9978,7.0,8.0,3.48,5,1.8,0.53,24.0,0,1,0.62
9.5,0.079,0.26,0.9964,7.9,42.0,3.23,5,1.9,0.54,140.0,0,1,0.52
9.9,0.11,0.28,0.9972,8.6,20.0,2.93,6,1.9,1.95,136.0,0,1,0.49
9.8,0.11,0.29,0.9972,8.6,19.0,2.93,5,2.0,1.98,133.0,0,1,0.49
9.6,0.062,0.26,0.9966,7.7,9.0,3.39,5,1.9,0.64,31.0,0,1,0.49
10.5,0.045,0.04,0.9938,5.0,41.0,3.75,4,1.4,0.48,85.0,0,1,1.02
12.9,0.057999999999999996,0.17,0.9932,4.7,17.0,3.85,6,2.3,0.6,106.0,0,1,0.6
10.7,0.102,0.0,0.9965,6.8,8.0,3.45,5,3.0,0.56,23.0,0,1,0.775
9.2,0.07,0.25,0.9963,7.0,3.0,3.25,5,2.0,0.63,22.0,0,1,0.5
9.8,0.079,0.06,0.9967,7.6,5.0,3.39,5,2.5,0.56,10.0,0,1,0.9
9.0,0.08,0.18,0.9972,8.1,13.0,3.3,6,1.9,0.59,35.0,0,1,0.545
10.2,0.084,0.3,0.9972,8.3,11.0,3.4,6,2.1,0.61,50.0,0,1,0.61
10.4,0.075,0.3,0.9959,7.8,8.0,3.31,6,1.9,0.56,22.0,0,1,0.5
9.0,0.08,0.18,0.9972,8.1,13.0,3.3,6,1.9,0.59,35.0,0,1,0.545
9.2,0.077,0.22,0.9967,8.1,12.0,3.29,5,2.1,0.51,65.0,0,1,0.575
9.4,0.07,0.24,0.996,7.2,5.0,3.33,5,2.2,0.48,36.0,0,1,0.49
9.2,0.077,0.22,0.9967,8.1,12.0,3.29,5,2.1,0.51,65.0,0,1,0.575
9.3,0.467,0.68,0.9973,7.8,18.0,3.08,5,1.7,1.31,69.0,0,1,0.41
9.3,0.08800000000000001,0.31,0.9969,6.2,15.0,3.46,5,1.7,0.79,64.0,0,1,0.63
9.6,0.091,0.53,0.9976,8.0,18.0,3.37,6,2.5,0.8,80.0,0,1,0.33
9.3,0.122,0.52,0.9969,8.1,37.0,3.21,5,2.0,0.69,153.0,0,1,0.785
9.5,0.10400000000000001,0.19,0.9964,7.8,12.0,3.19,5,1.8,0.93,47.0,0,1,0.56
9.8,0.084,0.09,0.9964,8.4,11.0,3.15,5,2.2,0.66,108.0,0,1,0.62
9.8,0.085,0.1,0.9964,8.4,14.0,3.15,5,2.2,0.66,111.0,0,1,0.6
9.7,0.08,0.44,0.9988,10.1,22.0,3.32,6,2.3,0.67,46.0,0,1,0.31
9.5,0.10400000000000001,0.19,0.9964,7.8,12.0,3.19,5,1.8,0.93,47.0,0,1,0.56
10.5,0.09,0.31,0.9966,9.4,13.0,3.07,6,2.2,0.63,62.0,0,1,0.4
10.0,0.077,0.28,0.9978,8.3,11.0,3.39,6,1.9,0.61,40.0,0,1,0.54
9.4,0.08199999999999999,0.12,0.997,7.8,7.0,3.37,6,2.0,0.5,28.0,0,1,0.56
10.9,0.11900000000000001,0.04,0.9962,8.8,14.0,3.21,6,2.2,0.6,56.0,0,1,0.55
9.2,0.09699999999999999,0.08,0.9959,7.0,22.0,3.34,6,1.8,0.54,89.0,0,1,0.69
9.0,0.17800000000000002,0.09,0.9962,7.3,10.0,3.3,5,1.7,0.57,89.0,0,1,1.07
10.9,0.11900000000000001,0.04,0.9962,8.8,14.0,3.21,6,2.2,0.6,56.0,0,1,0.55
9.2,0.075,0.0,0.998,7.3,3.0,3.49,5,2.5,0.52,13.0,0,1,0.695
9.5,0.08,0.0,0.9976,8.0,11.0,3.44,5,2.6,0.53,34.0,0,1,0.71
9.5,0.08199999999999999,0.17,0.996,7.8,21.0,3.39,5,1.6,0.48,102.0,0,1,0.5
9.4,0.146,0.04,0.9984,9.0,27.0,3.16,5,1.9,0.7,90.0,0,1,0.62
10.9,0.081,0.0,0.9964,8.2,3.0,3.53,5,1.7,0.49,12.0,0,1,1.33
10.9,0.08199999999999999,0.0,0.9964,8.1,3.0,3.54,5,1.8,0.48,12.0,0,1,1.33
10.5,0.065,0.16,0.9962,8.0,3.0,3.42,7,1.8,0.92,16.0,0,1,0.59
9.4,0.07200000000000001,0.15,0.9955,6.1,6.0,3.42,5,1.8,0.57,19.0,0,1,0.38
9.4,0.11800000000000001,0.56,0.9968,8.0,30.0,3.24,5,2.0,0.66,134.0,0,1,0.745
13.0,0.049,0.09,0.9937,5.6,17.0,3.63,5,2.3,0.63,99.0,0,1,0.5
13.0,0.049,0.09,0.9937,5.6,17.0,3.63,5,2.3,0.63,99.0,0,1,0.5
9.8,0.06,0.01,0.9952,6.6,17.0,3.4,6,1.5,0.58,26.0,0,1,0.5
9.9,0.084,0.05,0.9959,7.9,13.0,3.22,6,2.2,0.55,29.0,0,1,1.04
9.6,0.09,0.11,0.9965,8.4,16.0,3.19,5,1.9,0.82,63.0,0,1,0.745
9.5,0.08900000000000001,0.15,0.9968,8.3,10.0,3.23,5,1.8,0.77,52.0,0,1,0.715
9.2,0.081,0.36,0.9972,7.2,13.0,3.48,5,2.0,0.64,45.0,0,1,0.415
9.5,0.081,0.19,0.9962,7.8,15.0,3.33,5,2.1,0.54,105.0,0,1,0.56
9.5,0.081,0.19,0.9962,7.8,17.0,3.32,5,2.0,0.54,108.0,0,1,0.56
9.6,0.09,0.11,0.9965,8.4,16.0,3.19,5,1.9,0.82,63.0,0,1,0.745
9.5,0.08900000000000001,0.15,0.9968,8.3,10.0,3.23,5,1.8,0.77,52.0,0,1,0.715
14.0,0.05,0.0,0.9916,5.2,27.0,3.68,6,1.8,0.79,63.0,0,1,0.34
9.4,0.066,0.08,0.9954,6.3,3.0,3.34,5,1.7,0.58,20.0,0,1,0.39
14.0,0.05,0.0,0.9916,5.2,27.0,3.68,6,1.8,0.79,63.0,0,1,0.34
9.4,0.11699999999999999,0.55,0.9968,8.1,32.0,3.17,5,1.8,0.62,141.0,0,1,0.67
10.0,0.087,0.02,0.9944,5.8,21.0,3.54,5,1.8,0.52,94.0,0,1,0.68
9.3,0.23600000000000002,0.26,0.9968,7.6,10.0,3.11,5,1.6,0.8,88.0,0,1,0.49
10.2,0.07400000000000001,0.1,0.9959,6.9,12.0,3.42,6,2.3,0.58,30.0,0,1,0.49
10.5,0.08900000000000001,0.44,0.9975,8.2,11.0,3.53,6,2.8,0.61,43.0,0,1,0.4
10.3,0.077,0.47,0.9958,7.3,5.0,3.33,6,2.1,0.53,11.0,0,1,0.33
9.4,0.61,1.0,0.9996,9.2,32.0,2.74,4,3.4,2.0,69.0,0,1,0.52
10.1,0.095,0.03,0.995,7.5,25.0,3.35,5,1.8,0.54,99.0,0,1,0.6
10.1,0.095,0.03,0.995,7.5,25.0,3.35,5,1.8,0.54,99.0,0,1,0.6
10.5,0.07,0.42,0.9973,7.1,29.0,3.42,5,5.5,0.72,129.0,0,1,0.43
10.5,0.071,0.42,0.9973,7.1,28.0,3.42,5,5.5,0.71,128.0,0,1,0.43
10.5,0.07,0.42,0.9973,7.1,29.0,3.42,5,5.5,0.72,129.0,0,1,0.43
10.5,0.071,0.42,0.9973,7.1,28.0,3.42,5,5.5,0.71,128.0,0,1,0.43
9.3,0.073,0.0,0.9969,7.1,12.0,3.48,5,2.2,0.5,22.0,0,1,0.68
9.3,0.079,0.18,0.9968,6.8,18.0,3.59,6,1.9,0.57,86.0,0,1,0.6
9.6,0.09,0.03,0.9959,7.6,7.0,3.2,5,2.0,0.56,20.0,0,1,0.95
9.2,0.07200000000000001,0.02,0.9965,7.6,9.0,3.17,4,1.3,1.08,20.0,0,1,0.68
10.0,0.076,0.04,0.9964,7.8,17.0,3.33,6,1.7,0.56,31.0,0,1,0.53
9.4,0.07,0.26,0.9982,7.4,36.0,3.37,5,7.3,0.49,121.0,0,1,0.6
9.4,0.07,0.26,0.9981,7.3,35.0,3.37,5,7.2,0.49,121.0,0,1,0.59
9.5,0.1,0.48,0.9961,7.8,14.0,3.19,5,1.7,0.62,96.0,0,1,0.63
10.2,0.085,0.1,0.9956,6.8,18.0,3.34,5,2.1,0.52,101.0,0,1,0.64
9.0,0.07200000000000001,0.03,0.9956,7.3,17.0,3.37,4,1.6,0.48,42.0,0,1,0.55
10.4,0.08900000000000001,0.07,0.9953,6.8,11.0,3.47,6,2.1,0.55,44.0,0,1,0.63
9.5,0.36,0.24,0.9964,7.5,15.0,3.0,5,1.8,1.59,63.0,0,1,0.705
9.1,0.057999999999999996,0.03,0.9972,7.9,4.0,3.36,4,1.8,0.33,8.0,0,1,0.885
9.2,0.073,0.17,0.9972,8.0,6.0,3.29,6,2.0,0.61,18.0,0,1,0.42
9.2,0.073,0.17,0.9972,8.0,6.0,3.29,6,2.0,0.61,18.0,0,1,0.42
11.5,0.068,0.05,0.9961,7.4,24.0,3.42,6,1.9,0.57,42.0,0,1,0.62
9.5,0.08,0.21,0.9961,7.3,7.0,3.33,5,2.0,0.47,35.0,0,1,0.38
9.5,0.085,0.04,0.9958,6.9,19.0,3.35,5,1.5,0.78,49.0,0,1,0.5
9.5,0.08,0.21,0.9961,7.3,7.0,3.33,5,2.0,0.47,35.0,0,1,0.38
10.5,0.087,0.42,0.9972,7.5,8.0,3.58,6,2.3,0.61,38.0,0,1,0.52
9.6,0.068,0.0,0.9969,7.0,7.0,3.48,5,2.5,0.56,20.0,0,1,0.805
