pelicula,año,ratings,genero,ventas,presupuesto,secuela,vistas_youtube,positivos_youtube,negativos_youtube,comentarios,seguidores_agregados
13 Sins,2014,6.3,8,9130,4000000.0,1,3280543,4632,425,636,1120000.0
22 Jump Street,2014,7.1,1,192000000,50000000.0,2,583289,3465,61,186,12350000.0
3 Days to Kill,2014,6.2,1,30700000,28000000.0,1,304861,328,34,47,483000.0
300: Rise of an Empire,2014,6.3,1,106000000,110000000.0,2,452917,2429,132,590,568000.0
A Haunted House 2,2014,4.7,8,17300000,3500000.0,2,3145573,12163,610,1082,1923800.0
A Long Way Off,2014,4.6,3,29000,500000.0,1,91137,112,7,1,310000.0
A Million Ways to Die in the West,2014,6.1,8,42600000,40000000.0,1,3013011,9595,419,1020,8153000.0
A Most Violent Year,2014,7.1,1,5750000,20000000.0,1,1854103,2207,197,593,130655.0
A Walk Among the Tombstones,2014,6.5,10,26000000,28000000.0,1,2213659,2210,419,382,125646.0
About Last Night,2014,6.1,8,48600000,12500000.0,1,5218079,11709,532,770,21697300.0
American Sniper,2014,7.3,1,350000000,58800000.0,1,3927600,13143,573,3134,24300.0
And So It Goes,2014,5.7,8,15200000,30000000.0,1,519327,963,94,70,386400.0
Annabelle,2014,5.4,15,84300000,6500000.0,1,19032902,38810,4382,4392,19420105.0
Annie,2014,5.2,8,85900000,65000000.0,1,930006,5150,707,1484,5130800.0
Atlas Shrugged: Who Is John Galt?,2014,4.4,3,830000,5000000.0,3,595194,85,36,39,15112.0
Barefoot,2014,6.6,8,11800,6000000.0,1,3915978,6983,247,460,253000.0
Better Living Through Chemistry,2014,6.3,8,72300,5000000.0,1,1391527,2479,146,182,1658900.0
Beyond the Lights,2014,6.9,3,14600000,7000000.0,1,1828235,7633,235,685,116100.0
Big Hero 6,2014,7.9,12,222000000,165000000.0,1,4700023,14163,538,1293,199800.0
Black or White,2014,6.6,3,21600000,9000000.0,1,1348142,4404,307,1033,888000.0
Blended,2014,6.5,8,46300000,40000000.0,1,7977747,18690,1940,2214,2417000.0
Boyhood,2014,8.0,3,25400000,4000000.0,1,1671367,4572,207,741,105000.0
Brick Mansions,2014,5.7,1,20300000,28000000.0,1,2088644,6633,255,1235,3209000.0
Cake,2014,6.5,3,1870000,7000000.0,1,4398243,9202,454,1150,4769100.0
Camp X-Ray,2014,7.0,3,9840,1000000.0,1,7128,1,0,0,2182.0
Cantinflas,2014,6.7,9,6370000,3000000.0,1,2902492,9522,558,2296,0.0
Captain America: The Winter Soldier,2014,7.8,1,260000000,170000000.0,2,760262,2918,66,837,8030000.0
Dawn of the Planet of the Apes,2014,7.7,1,209000000,170000000.0,2,1735700,6772,187,889,114000.0
Deliver Us from Evil,2014,6.2,10,30500000,30000000.0,1,465219,1348,72,162,744600.0
Devil's Due,2014,4.0,15,15800000,7000000.0,1,1844690,3728,581,729,9536.0
Divergent,2014,6.8,2,151000000,85000000.0,1,463866,3400,152,987,1030000.0
Dolphin Tale 2,2014,6.4,3,42000000,36000000.0,2,384448,1230,129,228,276750.0
Dracula Untold,2014,6.3,1,55900000,70000000.0,1,9149892,26427,1342,5278,395500.0
Draft Day,2014,6.8,3,28800000,27000000.0,1,522630,1248,153,227,147000.0
Dumb and Dumber To,2014,5.8,8,86200000,35000000.0,3,3287020,7698,446,1122,17064000.0
Earth to Echo,2014,5.8,2,38900000,13000000.0,1,1488038,2571,553,643,88586.0
Edge of Tomorrow,2014,7.9,1,100000000,178000000.0,1,15568277,29251,1730,6439,5610000.0
Endless Love,2014,6.3,3,23400000,20000000.0,1,11850723,24226,1343,2577,21500.0
Falcon Rising,2014,5.7,1,8690,4500000.0,1,735551,636,98,92,1060000.0
Foxcatcher,2014,7.1,9,1210000,24000000.0,1,6685088,8369,467,1580,13720000.0
Fury,2014,7.6,1,85700000,68000000.0,1,2276605,3946,331,1286,1888000.0
God Help the Girl,2014,6.4,3,102000,1850000.0,1,1034480,6490,181,374,66600.0
God's Not Dead,2014,5.0,3,60800000,2000000.0,1,456564,1706,413,890,412000.0
God's Pocket,2014,6.1,10,104000,1000000.0,1,99427,47,10,12,0.0
Godzilla,2014,6.5,1,201000000,160000000.0,1,1156609,2968,112,547,1870000.0
Gone Girl,2014,8.2,3,168000000,61000000.0,1,396010,1390,58,342,20640000.0
Guardians of the Galaxy,2014,8.1,1,333000000,170000000.0,1,1313548,8567,269,1285,2750000.0
Happy Christmas,2014,5.6,8,30100,70000.0,1,924347,1406,107,132,5887700.0
Heaven Is for Real,2014,5.8,3,91400000,12000000.0,1,175017,461,34,133,0.0
Hercules,2014,6.1,1,72700000,100000000.0,1,9324678,15479,1130,3925,9414000.0
Horrible Bosses 2,2014,6.3,8,54400000,42000000.0,2,1292235,5284,124,362,1650000.0
How to Train Your Dragon 2,2014,7.9,12,177000000,145000000.0,2,11472161,22779,862,2863,671000.0
If I Stay,2014,6.8,3,50500000,11000000.0,1,9222933,41728,924,3609,1800000.0
In the Name of My Daughter,2014,6.1,3,275000,8932779.93,1,8210,6,0,0,58900.0
Inherent Vice,2014,6.7,8,8090000,20000000.0,1,1167941,2651,82,797,0.0
Interstellar,2014,8.7,2,188000000,165000000.0,1,5421705,16635,751,4316,1865000.0
Into the Storm,2014,5.8,1,47600000,50000000.0,1,4270410,8886,569,3058,301000.0
Into the Woods,2014,6.0,2,128000000,50000000.0,1,817242,4391,112,346,4720000.0
It Follows,2014,6.9,15,14700000,2000000.0,1,4877,6,1,1,0.0
Jack Ryan: Shadow Recruit,2014,6.2,1,50500000,60000000.0,5,3320754,4322,347,1105,147000.0
Jersey Boys,2014,6.9,9,47000000,40000000.0,1,1438350,4028,133,543,27323.0
John Wick,2014,7.2,1,43000000,20000000.0,1,4846645,14722,405,2732,0.0
Kill the Messenger,2014,7.0,9,2450000,5000000.0,1,3650720,6917,234,1119,1045200.0
Kingsman: The Secret Service,2014,7.8,1,128000000,81000000.0,1,2767873,46023,944,6946,5407000.0
Kung Fu Jungle,2014,6.5,1,129000,25000000.0,1,289922,143,17,9,0.0
Left Behind,2014,3.1,1,14000000,16000000.0,1,5611593,11187,2111,7595,116800.0
Let's Be Cops,2014,6.5,8,82400000,17000000.0,1,4450824,7315,546,909,2356000.0
Life After Beth,2014,5.7,8,8300,2400000.0,1,1222921,5553,193,335,1463000.0
Locker 13,2014,4.8,7,2470,300000.0,1,30529,18,4,2,18100.0
Lucy,2014,6.4,1,127000000,40000000.0,1,1142964,2346,167,311,0.0
Maleficent,2014,7.0,1,241000000,180000000.0,1,557012,3528,135,464,5633.0
Maps to the Stars,2014,6.3,8,348000,15000000.0,1,177465,595,39,71,644000.0
Million Dollar Arm,2014,7.1,9,36400000,25000000.0,1,1470438,4314,168,511,130000.0
Moms' Night Out,2014,5.4,8,10400000,5000000.0,1,667852,469,38,44,919000.0
Mr. Peabody & Sherman,2014,6.9,12,112000000,145000000.0,1,277848,890,45,88,8839043.0
Muppets Most Wanted,2014,6.5,2,51200000,50000000.0,3,3037329,6696,564,1061,9850000.0
My Old Lady,2014,6.3,8,4010000,5000000.0,1,446576,659,50,45,0.0
Need for Speed,2014,6.6,1,43600000,66000000.0,1,1451649,7342,533,2305,2594000.0
Neighbors,2014,6.4,8,150000000,18000000.0,1,2554307,8722,298,693,14240000.0
Night at the Museum: Secret of the Tomb,2014,6.3,2,114000000,127000000.0,3,3779254,13535,362,1221,6480000.0
Nightcrawler,2014,7.9,10,32300000,8500000.0,1,6082510,12522,543,2170,0.0
No Good Deed,2014,5.6,10,52500000,13200000.0,1,608230,895,118,387,1550500.0
Noah,2014,5.9,1,101000000,125000000.0,1,13661095,41254,3812,18077,1810000.0
Non-Stop,2014,7.0,1,91400000,50000000.0,1,367551,700,19,37,648786.0
Not Cool,2014,5.2,8,35700,600000.0,1,5403836,187162,3145,24919,2720000.0
Ouija,2014,4.4,15,50800000,5000000.0,1,11724815,30208,2150,4926,130000.0
Paddington,2014,7.2,8,76100000,55000000.0,1,2028767,3829,500,665,124000.0
Paranormal Activity: The Marked Ones,2014,5.0,15,32500000,5000000.0,1,105480,352,45,85,11444.0
Penguins of Madagascar,2014,6.8,12,83300000,132000000.0,1,1223790,2934,123,226,47200.0
Planes: Fire & Rescue,2014,5.9,12,59200000,50000000.0,3,2117798,2124,485,626,3603000.0
Pompeii,2014,5.6,1,23200000,100000000.0,1,355563,1568,106,267,370000.0
Ride Along,2014,6.1,1,134000000,25000000.0,1,8429023,27484,977,2195,21586000.0
Rio 2,2014,6.4,12,132000000,103000000.0,2,3849768,9783,704,1151,154400.0
RoboCop,2014,6.2,1,58600000,100000000.0,1,3305047,11733,1077,4319,250000.0
Rosewater,2014,6.6,9,3090000,5000000.0,1,909596,2214,186,632,0.0
Rudderless,2014,7.5,8,37400,5000000.0,1,827239,3221,89,432,217000.0
Sabotage,2014,5.7,1,10500000,35000000.0,1,3466458,6096,411,977,3678000.0
Selma,2014,7.5,9,52100000,20000000.0,1,3743181,16782,565,4973,9224.0
Serena,2014,5.4,3,176000,30000000.0,1,3726728,6221,405,1074,0.0
Seventh Son,2014,5.5,1,17200000,95000000.0,1,23360,36,5,5,804300.0
Sex Tape,2014,5.1,8,38500000,40000000.0,1,2757667,3030,418,251,4521000.0
Sin City: A Dame to Kill For,2014,6.6,10,13800000,65000000.0,2,5223362,18770,627,2796,8620000.0
Son of God,2014,5.5,9,59700000,22000000.0,1,943306,3006,325,1401,3185900.0
Song One,2014,5.8,3,20200,6000000.0,1,2426078,9230,184,373,33500.0
St. Vincent,2014,7.3,8,44100000,13000000.0,1,4176181,9463,310,885,269849.0
Taken 3,2014,6.1,1,89300000,48000000.0,3,1544390,2975,136,380,216000.0
Tammy,2014,4.8,8,84500000,20000000.0,1,3429055,7682,675,727,727000.0
Teenage Mutant Ninja Turtles,2014,5.9,1,191000000,125000000.0,1,7908038,27312,3439,8533,1260000.0
That Awkward Moment,2014,6.1,8,26000000,8000000.0,1,6132551,14539,653,846,11783000.0
The Admiral,2014,7.1,2,2590000,9500000.0,1,134353,280,43,308,0.0
The Amazing Spider-Man 2,2014,6.8,1,203000000,200000000.0,2,386857,4996,233,864,4520000.0
The Babadook,2014,6.9,3,924000,2000000.0,1,6501107,14139,890,2928,0.0
The Best of Me,2014,6.6,3,26800000,26000000.0,1,5546710,15351,535,1271,48231.0
The Book of Life,2014,7.3,12,50200000,50000000.0,1,5165441,17476,871,3229,10364000.0
The Boxtrolls,2014,6.8,12,50800000,60000000.0,1,2545852,3964,378,554,1280000.0
The Devil's Hand,2014,4.8,7,4240,7000000.0,1,330363,406,52,92,0.0
The Drop,2014,7.1,10,10700000,12600000.0,1,2897407,5953,153,569,0.0
The Equalizer,2014,7.2,1,102000000,55000000.0,1,7075635,15858,574,1966,1800000.0
The Expendables 3,2014,6.1,1,39300000,90000000.0,3,14453673,33092,1336,5005,1480000.0
The Fault in Our Stars,2014,7.9,3,125000000,12000000.0,1,32626778,370552,4752,38363,4240000.0
The Fluffy Movie: Unity Through Laughter,2014,7.0,8,2820000,0.0,1,10747,4,1,1,818000.0
The Gambler,2014,6.1,10,33600000,25000000.0,1,4790221,4740,454,773,2740000.0
The Giver,2014,6.5,3,45100000,25000000.0,1,523457,2187,149,565,184100.0
The Good Lie,2014,7.4,3,2720000,20000000.0,1,1303646,3306,211,564,759800.0
The Hobbit: The Battle of the Five Armies,2014,7.5,2,255000000,250000000.0,6,3554189,14152,262,1782,2613000.0
The Homesman,2014,6.6,3,2430000,16000000.0,1,26528,58,1,8,25748.0
The Hundred-Foot Journey,2014,7.3,8,54200000,22000000.0,1,24809,277,12,52,20700.0
The Hunger Games: Mockingjay - Part 1,2014,6.8,2,337000000,125000000.0,3,3305417,14684,332,1176,31030000.0
The Identical,2014,5.0,3,2820000,12000000.0,1,309610,729,97,113,275873.0
The Imitation Game,2014,8.1,9,91100000,14000000.0,1,3047849,11748,253,1237,0.0
The Interview,2014,6.7,1,6110000,44000000.0,1,6231191,13331,1265,3430,6619435.0
The Judge,2014,7.5,10,47100000,50000000.0,1,1325872,4829,104,378,5563500.0
The Legend of Hercules,2014,4.2,1,18800000,70000000.0,1,797229,1606,630,456,1174806.0
The Lego Movie,2014,7.8,12,258000000,60000000.0,1,439159,1847,105,289,4690000.0
The Loft,2014,6.3,6,5980000,14000000.0,1,381071,238,27,43,14586.0
The Maze Runner,2014,6.8,1,102000000,34000000.0,1,3156436,18124,213,2753,4734000.0
The Monuments Men,2014,6.1,3,78000000,70000000.0,1,10649,21,1,0,3849.0
The November Man,2014,6.3,1,25000000,15000000.0,1,1935432,3089,155,567,148000.0
The Nut Job,2014,5.8,12,64200000,42000000.0,1,2269032,3046,546,554,0.0
