usuario,pelicula,rating
1,1193,5
1,2355,5
1,1197,3
1,2804,5
1,919,4
1,2918,4
1,2791,4
1,2797,4
1,1270,5
1,527,5
1,1097,4
1,1721,4
1,588,4
1,2762,4
1,1,5
1,260,4
1,2028,5
1,3114,4
1,608,4
2,648,4
2,2628,3
2,2916,3
2,1210,4
2,1213,2
2,3578,5
2,1610,5
2,1259,5
2,110,5
2,3471,5
2,589,4
2,2858,4
2,1225,5
2,2028,4
2,480,5
2,1265,3
2,1193,5
2,590,5
2,1196,5
2,1198,4
2,593,5
2,2571,4
2,2396,4
2,21,1
2,380,5
2,457,4
2,1527,4
2,3418,4
2,780,3
2,1784,5
2,318,5
2,1968,2
2,356,5
3,648,3
3,1394,4
3,1210,4
3,2997,3
3,1291,4
3,1259,5
3,1580,3
3,260,5
3,2858,4
3,3114,3
3,480,4
3,1265,2
3,733,5
3,1196,4
3,590,4
3,2355,5
3,1197,5
3,1198,5
3,593,3
3,1304,5
3,1270,3
3,1968,4
3,1136,5
4,1210,3
4,1214,4
4,1036,4
4,260,5
4,2028,5
4,480,4
4,1196,2
4,1198,5
4,1097,4
4,3418,4
4,1387,5
4,1240,5
5,2987,4
5,39,3
5,2916,1
5,3578,2
5,3793,2
5,1610,4
5,2997,5
5,296,4
5,1617,3
5,2858,4
5,50,5
5,733,1
5,377,4
5,2355,5
5,593,4
5,2716,3
5,2571,5
5,1127,1
5,1704,3
5,2291,5
5,1923,3
5,318,3
5,608,4
5,1213,5
5,2599,5
5,2959,4
5,1721,1
5,1580,4
5,2028,2
5,919,4
5,2683,3
5,1527,3
5,3418,3
5,2762,3
5,32,4
5,34,4
5,356,1
6,2406,5
6,3578,4
6,296,2
6,588,4
6,1,4
6,2858,1
6,377,3
6,590,3
6,1210,3
6,912,4
6,2396,4
6,34,4
7,648,4
7,2916,5
7,3578,3
7,3793,3
7,1610,5
7,589,5
7,733,5
7,377,3
7,1196,5
7,2571,5
7,380,5
7,1270,4
7,457,5
7,1573,4
7,1580,4
7,110,5
7,1221,4
7,2028,5
7,480,4
7,3418,3
8,39,3
8,1393,5
8,2916,5
8,296,5
8,589,5
8,1,4
8,2858,5
8,1265,5
8,733,3
8,377,4
8,2571,5
8,527,4
8,1704,5
8,2291,5
8,608,5
8,1573,4
8,1210,4
8,1213,5
8,1721,5
8,1580,4
8,110,5
8,2028,5
8,480,5
8,3481,4
8,2396,5
8,3418,3
8,2699,5
9,1393,3
9,3793,4
9,1617,4
9,223,4
9,1,5
9,2858,4
9,50,4
9,1265,4
9,377,3
9,590,5
9,2355,4
9,593,5
9,2571,5
9,527,5
9,457,5
9,1704,4
9,1923,5
9,1784,3
9,318,5
9,608,4
9,1210,4
9,1213,4
9,2599,2
9,2959,4
9,1721,5
9,1584,5
9,1221,4
9,2028,5
9,3114,4
9,480,4
9,912,4
9,1307,4
9,2762,4
10,648,4
10,2628,3
10,2997,4
10,1259,3
10,588,4
10,589,4
10,223,2
10,1,5
10,1265,5
10,1196,5
10,590,5
10,1197,5
10,1198,5
10,592,4
10,2716,4
10,2571,5
10,1270,4
10,1923,5
10,1784,5
10,318,4
10,750,4
10,2804,5
10,2599,5
10,1291,5
10,3471,5
10,260,5
10,3114,4
10,2174,5
10,912,3
10,1374,4
10,919,5
10,3481,4
10,924,3
10,780,5
10,1387,3
10,858,3
10,2762,5
10,32,5
10,356,5
10,1394,3
10,2918,5
10,1617,3
10,2858,3
10,2355,4
10,2791,4
10,1127,4
10,2797,5
10,527,4
10,1704,5
10,2291,4
10,2000,5
10,1200,5
10,1136,4
10,3175,5
10,1573,5
10,1210,4
10,1214,4
10,2959,3
10,541,5
10,1721,3
10,110,4
10,1580,5
10,1584,5
10,1220,4
10,1221,3
10,1225,4
10,480,4
10,2396,5
10,1304,3
10,1307,5
10,1097,5
10,1240,5
11,2997,4
11,1259,3
11,2706,2
11,1265,3
11,590,3
11,1197,5
11,1198,4
11,593,5
11,1923,5
11,1784,5
11,318,5
11,2804,5
11,2174,4
11,2683,4
11,2762,5
11,356,5
11,1394,4
11,2918,5
11,2858,5
11,50,5
11,2355,1
11,2791,4
11,1704,5
11,1136,4
11,608,5
11,1573,1
11,1213,4
11,2959,5
11,110,3
11,480,4
11,2396,2
11,1307,3
11,3418,5
12,1193,4
12,1198,5
12,593,5
12,2804,5
12,919,5
12,858,5
12,1221,5
13,2987,3
13,648,3
13,2628,3
13,1259,4
13,589,5
13,1196,5
13,590,4
13,1197,4
13,1198,5
13,592,3
13,593,5
13,2571,5
13,318,4
13,1291,4
13,260,5
13,1374,4
13,919,4
13,21,3
13,1527,4
13,780,4
13,1393,3
13,2916,3
13,1610,3
13,296,4
13,50,4
13,1127,4
13,380,3
13,527,5
13,457,2
13,3175,3
13,1210,4
13,1580,4
13,110,4
13,2028,4
13,480,4
13,1097,5
13,3418,3
14,2997,5
14,2762,5
14,1968,2
14,3578,4
